Abraham, F. Murray
Reno, Jean
Reynolds, Burt
Reynolds, Debbie
Reynolds, Ryan
Rhys-Davies, John
Ribisi, Giovanni
Ricci, Christina
Richardson, Miranda
Rickman, Alan
Riggle, Rob
Ringwald, Molly
Riseborough, Andrea
Riva, Emmanuelle
Robards, Jason
Robb, AnnaSophia
Robbie, Margot
Robbins, Tim
Roberts, Emma
Roberts, Julia
Robertson, Cliff
Robinson, Craig
Robinson, Edward G.
Rock, Chris
Rockwell, Sam
Rodriguez, Michelle
Rogen, Seth
Rogers, Ginger
Romijn, Rebecca
Ronan, Saoirse
Rooker, Michael
Rossum, Emmy
Roth, Tim
Rourke, Mickey
Rowlands, Gena
Rudd, Paul
Rudolph, Maya
Ruehl, Mercedes
Ruffalo, Mark
Rush, Geoffrey
Russell, Harold
Russell, Keri
Russell, Kurt
Russell, Rosalind
Russo, Rene
Ryan, Amy
Ryan, Meg
Ryder, Winona
Rylance, Mark
Saint, Eva Marie
Saldana, Zoe
Samberg, Andy
Sanders, George
Sandler, Adam
Sarandon, Susan
Sarsgaard, Peter
Scheider, Roy
Schell, Maximilian
Schildkraut, Joseph
Schneider, Rob
Schreiber, Liev
Schwartzman, Jason
Schwarzenegger, Arnold
Scofield, Paul
Scofield, Paul
Scott, George C.
Seberg, Jean
Segel, Jason
Sellers, Peter
Serkis, Andy
Sevigny, Chloë
Sewell, Rufus
Seydoux, Léa
Seyfried, Amanda
Shannon, Michael
Sharma, Suraj
Shatner, William
Shaw, Robert
Shearer, Norma
Sheen, Charlie
Sheen, Martin
Sheen, Michael
Shimura, Takashi
Shire, Talia
Shue, Elisabeth
Sidibe, Gabourey
Signoret, Simone
Silverstone, Alicia
Simmons, J.K.
Sinatra, Frank
Sinise, Gary
Skarsgård, Alexander
Skarsgård, Stellan
Smith, Jada Pinkett
Smith, Maggie
Smith, Will
Smulders, Cobie
Snipes, Wesley
Snow, Brittany
Sondergaard, Gale
Sorvino, Mira
Spacek, Sissy
Spacey, Kevin
Spade, David
Spader, James
Spencer, Octavia
Squibb, June
Stallone, Sylvester
Stanwyck, Barbara
Stapleton, Maureen
Statham, Jason
Staunton, Imelda
Steenburgen, Mary
Steiger, Rod
Steinfeld, Hailee
Stevenson, Ray
Stewart, James
Stewart, Kristen
Stewart, Patrick
Stiles, Julia
Stiller, Ben
Stockwell, Dean
Stone, Emma
Stone, Sharon
Straight, Beatrice
Strathairn, David
Streep, Meryl
Streisand, Barbra
Strong, Mark
Stuart, Gloria
Sudeikis, Jason
Sutherland, Donald
Sutherland, Kiefer
Swank, Hilary
Swanson, Gloria
Swardson, Nick
Swayze, Patrick
Swinton, Tilda
Tandy, Jessica
Tatum, Channing
Tautou, Audrey
Taylor, Christine
Taylor, Elizabeth
Taylor, Lili
Taylor-Johnson, Aaron
Teller, Miles
Temple, Shirley
Theron, Charlize
Thewlis, David
Thirlby, Olivia
Thomas, Kristin Scott
Thompson, Emma
Thornton, Billy Bob
Thorpe, Alexis
Thurman, Uma
Timberlake, Justin
Tipton, Analeigh
Tomei, Marisa
Tomlin, Lily
Trachtenberg, Michelle
Tracy, Spencer
Travolta, John
Trevor, Claire
Trintignant, Jean-Louis
Tucci, Stanley
Tucker, Chris
Turner, Kathleen
Turturro, John
Tyler, Liv
Ullmann, Liv
Umeki, Miyoshi
Urban, Karl
Ustinov, Peter
Van Damme, Jean-Claude
Van Dyke, Dick
Van Fleet, Jo
Vaughn, Vince
Vergara, Sofía
Vikander, Alicia
Vogel, Mike
Voight, Jon
Wahlberg, Mark
Walken, Christopher
Walker, Paul
Walters, Julie
Waltz, Christoph
Washington, Denzel
Washington, Kerry
Wasikowska, Mia
Watanabe, Ken
Waterston, Sam
Watson, Emily
Watson, Emma
Watts, Naomi
Wayans, Marlon
Wayne, John
Weaver, Jacki
Weaver, Sigourney
Weaving, Hugo
Weigert, Robin
Weisz, Rachel
Welch, Raquel
Welles, Orson
West, Mae
Whitaker, Forest
White, Betty
Wiest, Dianne
Wiig, Kristen
Wilde, Olivia
Wilder, Gene
Wilkinson, Tom
Williams, Michelle
Williams, Robin
Willis, Bruce
Wilson, Luke
Wilson, Owen
Wilson, Patrick
Wilson, Patrick
Wilson, Rebel
Winger, Debra
Winslet, Kate
Winstead, Mary Elizabeth
Winstone, Ray
Winters, Shelley
Witherspoon, Reese
Wood, Elijah
Wood, Evan Rachel
Wood, Natalie
Woodley, Shailene
Woods, James
Woodward, Joanne
Worthington, Sam
Wright, Jeffrey
Wright, Robin
Wright, Teresa
Wyman, Jane
Yeoh, Michelle
Young, Gig
Young, Loretta
Zellweger, Renée
Zeta-Jones, Catherine
Zhang, Ziyi
de Havilland, Olivia
von Stroheim, Erich
von Sydow, Max
